Year,Athlete,Country/State,Time,Notes
1939,Ellison Brown,United States (RI),2:28:51,2nd victory
1940,Gérard Côté,Canada,2:28:28,
1941,Leslie S. Pawson,United States (RI),2:30:38,3rd victory
1942,Joe Smith,United States (MA),2:26:51,
1943,Gérard Côté,Canada,2:28:25,2nd victory
1944,Gérard Côté,Canada,2:31:50,3rd victory
1945,John A. Kelley,United States (MA),2:30:40,2nd victory
1946,Stylianos Kyriakides,Greece,2:29:27,
1947,Suh Yun-bok,South Korea,2:25:39,
1948,Gérard Côté,Canada,2:31:02,4th victory
1949,Gösta Leandersson,Sweden,2:31:50,
1950,Ham Kee-Yong,South Korea,2:32:39,
1951,Shigeki Tanaka,Japan,2:27:45,
1952,Doroteo Flores,Guatemala,2:31:53,Only Guatemalan to ever win the marathon
1953,Keizo Yamada,Japan,2:18:51,
1954,Veikko Karvonen,Finland,2:20:39,
1955,Hideo Hamamura,Japan,2:18:22,
1956,Antti Viskari,Finland,2:14:14,
1957,John J. Kelley,United States (CT),2:20:05,
1958,Franjo Mihalić,Yugoslavia,2:25:54,
1959,Eino Oksanen,Finland,2:22:42,
1960,Paavo Kotila,Finland,2:20:54,
1961,Eino Oksanen,Finland,2:23:39,2nd victory
1962,Eino Oksanen,Finland,2:23:48,3rd victory
1963,Aurèle Vandendriessche,Belgium,2:18:58,
1964,Aurèle Vandendriessche,Belgium,2:19:59,2nd victory
1965,Morio Shigematsu,Japan,2:16:33,
1966,Kenji Kimihara,Japan,2:17:11,
1967,Dave McKenzie,New Zealand,2:15:45,
1968,Amby Burfoot,United States (CT),2:22:17,
1969,Yoshiaki Unetani,Japan,2:13:49,
1970,Ron Hill,United Kingdom,2:10:30,
1971,Álvaro Mejía,Colombia,2:18:45,
1972,Olavi Suomalainen,Finland,2:15:39,
1973,Jon Anderson,United States (OR),2:16:03,
1974,Neil Cusack,Ireland,2:13:39,
1975,Bill Rodgers,United States (MA),2:09:55,
1976,Jack Fultz,United States (VA),2:20:19,
1977,Jerome Drayton,Canada,2:14:46,
1978,Bill Rodgers,United States (MA),2:10:13,2nd victory
1979,Bill Rodgers,United States (MA),2:09:27,3rd victory
1980,Bill Rodgers,United States (MA),2:12:11,4th victory
1981,Toshihiko Seko,Japan,2:09:26,
1982,Alberto Salazar,United States (MA),2:08:52,
1983,Greg Meyer,United States (MI),2:09:00,
1984,Geoff Smith,United Kingdom,2:10:34,
1985,Geoff Smith,United Kingdom,2:14:05,2nd victory
1986,Robert de Castella,Australia,2:07:51,
1987,Toshihiko Seko,Japan,2:11:50,2nd victory
1988,Ibrahim Hussein,Kenya,2:08:43,
1989,Abebe Mekonnen,Ethiopia,2:09:06,
1990,Gelindo Bordin,Italy,2:08:19,
1991,Ibrahim Hussein,Kenya,2:11:06,2nd victory
1992,Ibrahim Hussein,Kenya,2:08:14,3rd victory
1993,Cosmas Ndeti,Kenya,2:09:33,
1994,Cosmas Ndeti,Kenya,2:07:15,"2nd victory,"
1995,Cosmas Ndeti,Kenya,2:09:22,3rd victory
1996,Moses Tanui,Kenya,2:09:15,
1997,Lameck Aguta,Kenya,2:10:34,
1998,Moses Tanui,Kenya,2:07:34,2nd victory
1999,Joseph Chebet,Kenya,2:09:52,
2000,Elijah Lagat,Kenya,2:09:47,
2001,Lee Bong-Ju,South Korea,2:09:43,
2002,Rodgers Rop,Kenya,2:09:02,
2003,Robert Kipkoech Cheruiyot,Kenya,2:10:11,
2004,Timothy Cherigat,Kenya,2:10:37,
2005,Hailu Negussie,Ethiopia,2:11:44,
2006,Robert Kipkoech Cheruiyot,Kenya,2:07:14,2nd victory
2007,Robert Kipkoech Cheruiyot,Kenya,2:14:13,3rd victory
2008,Robert Kipkoech Cheruiyot,Kenya,2:07:45,4th victory
2009,Deriba Merga,Ethiopia,2:08:42,
2010,Robert Kiprono Cheruiyot,Kenya,2:05:52,
2011,Geoffrey Mutai,Kenya,2:03:02,Current men's course record
2012,Wesley Korir,Kenya,2:12:40,
2013,Lelisa Desisa Benti,Ethiopia,2:10:22,
2014,Meb Keflezighi,United States (CA),2:08:37,First American win since 1983
2015,Lelisa Desisa Benti,Ethiopia,2:09:17,2nd victory
2016,Lemi Berhanu Hayle,Ethiopia,2:12:45,
2017,Geoffrey Kirui,Kenya,2:09:37,
2018,TBD,TBD,TBD,
